,qtd_filhos,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,sexo_M,posse_de_veiculo_Y,posse_de_imovel_Y,tipo_renda_Commercial associate,tipo_renda_Pensioner,tipo_renda_State servant,tipo_renda_Student,tipo_renda_Working,educacao_Academic degree,educacao_Higher education,educacao_Incomplete higher,educacao_Lower secondary,educacao_Secondary / secondary special,estado_civil_Civil marriage,estado_civil_Married,estado_civil_Separated,estado_civil_Single / not married,estado_civil_Widow,tipo_residencia_Co-op apartment,tipo_residencia_House / apartment,tipo_residencia_Municipal apartment,tipo_residencia_Office apartment,tipo_residencia_Rented apartment,tipo_residencia_With parents
0,0,58,3.106849315068493,1,0,0,0,2,False,True,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
1,0,52,8.35890410958904,1,0,1,1,1,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
2,0,46,2.106849315068493,1,1,1,1,2,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
3,0,29,3.021917808219178,1,0,0,0,2,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
4,0,27,4.024657534246575,1,0,1,0,2,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
5,1,30,4.438356164383562,1,0,0,0,2,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
6,3,34,3.186301369863014,1,0,0,0,5,False,True,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
7,1,32,5.523287671232877,1,0,0,0,3,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
8,0,56,12.191780821917808,1,0,1,0,2,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
9,2,43,8.693150684931506,1,0,0,0,4,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
10,1,44,19.44931506849315,1,0,0,0,3,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
11,2,34,4.857534246575343,1,0,0,1,4,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
12,0,55,-1000.6657534246576,1,0,0,0,1,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
13,0,46,3.690410958904109,1,0,0,0,1,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
14,0,42,8.860273972602739,1,0,0,0,1,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
15,0,37,13.276712328767124,1,0,1,0,2,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
16,1,28,7.693150684931507,1,0,0,0,3,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
17,0,48,4.69041095890411,1,0,0,0,2,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
18,0,43,2.4356164383561643,1,0,1,0,2,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
19,0,61,-1000.6657534246576,1,0,0,0,2,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
20,0,45,3.271232876712329,1,1,1,0,1,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
21,0,51,17.194520547945206,1,1,1,0,2,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
22,2,42,8.526027397260274,1,0,0,1,4,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
23,0,54,29.70684931506849,1,0,0,1,2,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
24,0,51,-1000.6657534246576,1,0,0,0,2,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
25,2,30,6.271232876712329,1,0,0,1,4,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
26,0,24,2.4356164383561643,1,1,0,0,1,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
27,0,28,5.69041095890411,1,0,0,0,2,False,True,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
28,0,28,8.693150684931506,1,0,1,1,2,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
29,1,48,1.9397260273972603,1,0,1,1,3,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
30,1,38,3.5232876712328767,1,0,0,0,3,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
31,0,27,8.693150684931506,1,0,0,1,2,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
32,0,56,15.6986301369863,1,0,0,0,2,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
33,2,40,8.189041095890412,1,0,0,0,4,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
34,1,37,12.03013698630137,1,0,0,1,3,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
35,0,36,1.5205479452054795,1,0,0,0,1,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
36,2,35,11.112328767123287,1,0,1,0,4,False,True,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
37,0,43,1.1835616438356165,1,0,0,0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
38,0,59,-1000.6657534246576,1,0,0,0,1,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
39,0,26,4.273972602739726,1,1,1,0,2,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
40,0,43,10.191780821917808,1,1,1,0,2,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
41,0,53,7.947945205479452,1,0,0,0,2,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
42,0,35,8.695890410958905,1,0,1,0,2,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
43,0,62,-1000.6657534246576,1,0,1,1,2,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
44,0,50,3.441095890410959,1,0,0,0,2,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
45,0,48,15.868493150684932,1,1,1,0,2,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
46,0,57,23.791780821917808,1,1,1,0,2,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
47,0,33,2.356164383561644,1,1,1,0,2,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
48,0,40,2.186301369863014,1,1,0,0,2,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
49,0,29,2.6904109589041094,1,0,1,0,2,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
50,0,52,14.364383561643836,1,0,1,0,1,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
51,0,38,5.86027397260274,1,0,1,0,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
